week,yhat,yhat_lower,yhat_upper
2021-07-27,0.0,-1.374384723407665e-09,1.3173443783526344e-09
2021-08-03,0.0,-1.4192241757783214e-09,1.4187811293767149e-09
2021-08-10,0.0,-1.1860418134242957e-09,1.3073155219575919e-09
2021-08-17,0.0,-1.2964855199065466e-09,1.2591887157679063e-09
2021-08-24,0.0,-1.3426592928343192e-09,1.2240543378000578e-09
2021-08-31,0.0,-1.2272335644222325e-09,1.2215930825755645e-09
2021-09-07,0.0,-1.3152913976515103e-09,1.2223494364887072e-09
2021-09-14,0.0,-1.2984397958093068e-09,1.2464263760617997e-09
2021-09-21,0.0,-1.1568354291125088e-09,1.2901553766759986e-09
2021-09-28,0.0,-1.3533328245730896e-09,1.1938319480812776e-09
2021-10-05,0.0,-1.3087934570707701e-09,1.3392262787215486e-09
2021-10-12,0.0,-1.364538229454733e-09,1.258676131479815e-09
2021-10-19,0.0,-1.3397874912855877e-09,1.1845071808418311e-09
2021-10-26,0.0,-1.334190485604656e-09,1.1997121710152235e-09
2021-11-02,0.0,-1.2482212605732758e-09,1.3124553321346125e-09
2021-11-09,0.0,-1.2944416681098205e-09,1.2463217099834858e-09
2021-11-16,0.0,-1.3273227249169444e-09,1.3683582826540657e-09
2021-11-23,0.0,-1.2443830533307709e-09,1.306458600402308e-09
2021-11-30,0.0,-1.2185084878970373e-09,1.214955678406932e-09
2021-12-07,0.0,-1.2521925636984203e-09,1.3595463035895438e-09
2021-12-14,0.0,-1.339403638085779e-09,1.2572900512896194e-09
2021-12-21,0.0,-1.3145391946857319e-09,1.3086190847109326e-09
2021-12-28,0.0,-1.2958713773135024e-09,1.2085611654486908e-09
2022-01-04,0.0,-1.2842833413327735e-09,1.3282359783406536e-09
2022-01-11,0.0,-1.2791074913828989e-09,1.2668488518241416e-09
2022-01-18,0.0,-1.3096534258834328e-09,1.3041601780931511e-09
2022-01-25,0.0,-1.337645273357291e-09,1.2079449425014227e-09
2022-02-01,0.0,-1.2037419467403277e-09,1.3018059322201965e-09
2022-02-08,0.0,-1.3377690457730493e-09,1.1778446179861796e-09
2022-02-15,0.0,-1.2649970553252982e-09,1.401001361025804e-09
2022-02-22,0.0,-1.2700999234190527e-09,1.3117328202355433e-09
2022-03-01,0.0,-1.2768500597402742e-09,1.2347970231673245e-09
2022-03-08,0.0,-1.3817971778583398e-09,1.25793180341178e-09
2022-03-15,0.0,-1.33071066368794e-09,1.1951689564415352e-09
2022-03-22,0.0,-1.3429859733506123e-09,1.1493957362779083e-09
2022-03-29,0.0,-1.2591430238407936e-09,1.266027530115084e-09
2022-04-05,0.0,-1.2376181161551417e-09,1.301524149615103e-09
2022-04-12,0.0,-1.285937519842533e-09,1.2069340319960599e-09
2022-04-19,0.0,-1.2932227577741224e-09,1.2450916435639415e-09
2022-04-26,0.0,-1.4003118620766904e-09,1.3135341423590405e-09
2022-05-03,0.0,-1.2798804377852192e-09,1.3091660663860233e-09
2022-05-10,0.0,-1.324828488529063e-09,1.2233014229396856e-09
2022-05-17,0.0,-1.2400582137287501e-09,1.3283913962032642e-09
2022-05-24,0.0,-1.2707906126278183e-09,1.3411623630786772e-09
2022-05-31,0.0,-1.3134358735881089e-09,1.2644853692421397e-09
2022-06-07,0.0,-1.3523433199909304e-09,1.274341362484732e-09
2022-06-14,0.0,-1.2430926808913781e-09,1.2568315414136648e-09
2022-06-21,0.0,-1.3549056488080833e-09,1.2131083343798837e-09
2022-06-28,0.0,-1.3551638465363496e-09,1.2862648482357854e-09
2022-07-05,0.0,-1.3207493640494185e-09,1.3060235918737832e-09
2022-07-12,0.0,-1.2937324573989432e-09,1.3028503255990717e-09
2022-07-19,0.0,-1.3400595470227585e-09,1.322724917973493e-09
2022-07-26,0.0,-1.2262271808751356e-09,1.303516236662718e-09
