week,yhat,yhat_lower,yhat_upper
2021-07-27,0.0,-1.3522825316506541e-09,1.2327342330503137e-09
2021-08-03,0.0,-1.1892986648373337e-09,1.3220141988754332e-09
2021-08-10,0.0,-1.312543804262477e-09,1.2222708846005854e-09
2021-08-17,0.0,-1.349611247922511e-09,1.2676459884938083e-09
2021-08-24,0.0,-1.1526460596857694e-09,1.2525273574845335e-09
2021-08-31,0.0,-1.29672467526968e-09,1.2263641045395727e-09
2021-09-07,0.0,-1.318913565811806e-09,1.3061360625728012e-09
2021-09-14,0.0,-1.203830119994477e-09,1.3666900496007292e-09
2021-09-21,0.0,-1.3178120634609234e-09,1.327135464881561e-09
2021-09-28,0.0,-1.2564023892166556e-09,1.2913591509829093e-09
2021-10-05,0.0,-1.279219150996982e-09,1.3682175182430975e-09
2021-10-12,0.0,-1.2425569160730258e-09,1.274790134500334e-09
2021-10-19,0.0,-1.2629808227902182e-09,1.3199787002512013e-09
2021-10-26,0.0,-1.2195140989067525e-09,1.26123508245518e-09
2021-11-02,0.0,-1.2305025970292743e-09,1.3186865971886289e-09
2021-11-09,0.0,-1.1942856115333167e-09,1.3413983791597805e-09
2021-11-16,0.0,-1.3013674348718346e-09,1.2082738829687886e-09
2021-11-23,0.0,-1.2815358455511524e-09,1.2457843079242397e-09
2021-11-30,0.0,-1.235060208686354e-09,1.266465412389305e-09
2021-12-07,0.0,-1.242870814724911e-09,1.2890331789314195e-09
2021-12-14,0.0,-1.3770692151177405e-09,1.3294143376133856e-09
2021-12-21,0.0,-1.247502685331175e-09,1.2454165081422973e-09
2021-12-28,0.0,-1.2111526300572699e-09,1.3978503380266413e-09
2022-01-04,0.0,-1.3059889861678912e-09,1.2894127492401846e-09
2022-01-11,0.0,-1.2575662780535894e-09,1.243315032917505e-09
2022-01-18,0.0,-1.3794171389007312e-09,1.2636109636564076e-09
2022-01-25,0.0,-1.2783479885713007e-09,1.2842136118006806e-09
2022-02-01,0.0,-1.2106727997654207e-09,1.3213943418160118e-09
2022-02-08,0.0,-1.2759031059236979e-09,1.2545626718673325e-09
2022-02-15,0.0,-1.3314254092850927e-09,1.2759965156772078e-09
2022-02-22,0.0,-1.2815664341354938e-09,1.3266550915803454e-09
2022-03-01,0.0,-1.2717449343323678e-09,1.274757312519969e-09
2022-03-08,0.0,-1.2335280482606577e-09,1.2730495057972109e-09
2022-03-15,0.0,-1.2751114974354272e-09,1.18312429209877e-09
2022-03-22,0.0,-1.2882452218498674e-09,1.2251321235511323e-09
2022-03-29,0.0,-1.2974430221914552e-09,1.239728881299485e-09
2022-04-05,0.0,-1.211975040110924e-09,1.430354989820328e-09
2022-04-12,0.0,-1.2863370769877308e-09,1.2679846838029103e-09
2022-04-19,0.0,-1.306777475002538e-09,1.189347563012621e-09
2022-04-26,0.0,-1.1517999664054953e-09,1.2618951173210804e-09
2022-05-03,0.0,-1.1916844643636873e-09,1.3440727511837475e-09
2022-05-10,0.0,-1.2762916087307127e-09,1.2649521207067324e-09
2022-05-17,0.0,-1.2052312492367695e-09,1.3745111993524613e-09
2022-05-24,0.0,-1.3378502532486534e-09,1.2746193916355785e-09
2022-05-31,0.0,-1.2890131200366058e-09,1.2818432256799282e-09
2022-06-07,0.0,-1.3035450539380148e-09,1.3351781467013213e-09
2022-06-14,0.0,-1.287325606993848e-09,1.2246112179172078e-09
2022-06-21,0.0,-1.1863479392896246e-09,1.2397309054772346e-09
2022-06-28,0.0,-1.2553443871680037e-09,1.27361397762879e-09
2022-07-05,0.0,-1.2118898710564214e-09,1.2573939585005033e-09
2022-07-12,0.0,-1.2947486181298836e-09,1.2703085952918638e-09
2022-07-19,0.0,-1.3472033748268069e-09,1.2505527972327608e-09
2022-07-26,0.0,-1.3199922283230767e-09,1.2259031628964067e-09
2022-08-02,0.0,-1.2759190140188454e-09,1.3483942738564392e-09
2022-08-09,0.0,-1.191416164788208e-09,1.3501447940210456e-09
2022-08-16,0.0,-1.2854981625043346e-09,1.3192279850364253e-09
2022-08-23,0.0,-1.2278317206875727e-09,1.3409171553331116e-09
2022-08-30,0.0,-1.330168514251262e-09,1.288906742880907e-09
2022-09-06,0.0,-1.2651529351225965e-09,1.2584216563551658e-09
2022-09-13,0.0,-1.195197295119896e-09,1.3125322404468604e-09
2022-09-20,0.0,-1.2186710576175137e-09,1.2512233114773092e-09
2022-09-27,0.0,-1.3135107279879147e-09,1.410140522822148e-09
2022-10-04,0.0,-1.3216823919922432e-09,1.3078110935001318e-09
2022-10-11,0.0,-1.1967983867698404e-09,1.2947507814153659e-09
2022-10-18,0.0,-1.2660870407269658e-09,1.2549159524525355e-09
2022-10-25,0.0,-1.3710372829284627e-09,1.194261249707614e-09
2022-11-01,0.0,-1.2458503544826002e-09,1.2973633043317924e-09
2022-11-08,0.0,-1.363523324339317e-09,1.1546904217643865e-09
2022-11-15,0.0,-1.258195310038831e-09,1.2969374830079464e-09
2022-11-22,0.0,-1.2882447318825182e-09,1.2880125862320994e-09
2022-11-29,0.0,-1.1993229967445923e-09,1.2566059699810126e-09
2022-12-06,0.0,-1.2368006327394243e-09,1.3215311259681535e-09
2022-12-13,0.0,-1.3099183600031759e-09,1.2258956927763872e-09
2022-12-20,0.0,-1.3511350581998059e-09,1.1914256489926083e-09
2022-12-27,0.0,-1.2502417026132597e-09,1.3472077947067785e-09
2023-01-03,0.0,-1.3207328290705164e-09,1.2949325659423824e-09
2023-01-10,0.0,-1.3242682634687872e-09,1.2638262353638894e-09
2023-01-17,0.0,-1.2568633037893218e-09,1.322464519552414e-09
2023-01-24,0.0,-1.297864890282667e-09,1.2867125521507802e-09
2023-01-31,0.0,-1.3833628465704305e-09,1.213473458118813e-09
2023-02-07,0.0,-1.3093154256892503e-09,1.2507516646334454e-09
2023-02-14,0.0,-1.2082900290629831e-09,1.255885453941722e-09
2023-02-21,0.0,-1.2347053390998305e-09,1.2443204987376383e-09
2023-02-28,0.0,-1.2004724153939317e-09,1.3467083082337542e-09
2023-03-07,0.0,-1.3525673597553653e-09,1.231607973928067e-09
2023-03-14,0.0,-1.2792112656423782e-09,1.253469291606421e-09
2023-03-21,0.0,-1.3147740030625136e-09,1.2502171422134196e-09
2023-03-28,0.0,-1.3112591829834305e-09,1.3349330885957302e-09
2023-04-04,0.0,-1.3306887877477635e-09,1.2824022970143333e-09
2023-04-11,0.0,-1.3532935030965705e-09,1.248552010382566e-09
2023-04-18,0.0,-1.2608192653849282e-09,1.2941727473933346e-09
2023-04-25,0.0,-1.2800969283580725e-09,1.343480796220629e-09
2023-05-02,0.0,-1.3125583306529175e-09,1.2398710460913089e-09
2023-05-09,0.0,-1.2485636936436762e-09,1.2673556468846105e-09
2023-05-16,0.0,-1.412712333459404e-09,1.2943100577555264e-09
2023-05-23,0.0,-1.3582577981752352e-09,1.254736844741883e-09
2023-05-30,0.0,-1.2153805415427e-09,1.2834859665528984e-09
2023-06-06,0.0,-1.2246420181929397e-09,1.3238942125357844e-09
2023-06-13,0.0,-1.2579075787871607e-09,1.3535790096587577e-09
2023-06-20,0.0,-1.2317934751563307e-09,1.3976435835418505e-09
2023-06-27,0.0,-1.2367795581522202e-09,1.2397701199335758e-09
2023-07-04,0.0,-1.3568118998143784e-09,1.378715110949015e-09
2023-07-11,0.0,-1.3141630573950578e-09,1.2673568287954776e-09
2023-07-18,0.0,-1.3476483072869503e-09,1.2017597222328554e-09
2023-07-25,0.0,-1.2319570831062571e-09,1.2913229443424247e-09
2023-08-01,0.0,-1.191105394243235e-09,1.334812877089537e-09
2023-08-08,0.0,-1.2566156509672544e-09,1.313239806319068e-09
2023-08-15,0.0,-1.2545283962336942e-09,1.3078788442490856e-09
2023-08-22,0.0,-1.250750961387126e-09,1.3521893391247046e-09
2023-08-29,0.0,-1.2545828709345617e-09,1.3245656605056745e-09
2023-09-05,0.0,-1.3045857317640732e-09,1.2191246005279745e-09
2023-09-12,0.0,-1.205957792218537e-09,1.2421694617119123e-09
2023-09-19,0.0,-1.195007919304279e-09,1.361410761609421e-09
2023-09-26,0.0,-1.258555494956124e-09,1.330950092169475e-09
2023-10-03,0.0,-1.283760583140704e-09,1.201248677084046e-09
2023-10-10,0.0,-1.2380916275206155e-09,1.2352193163137725e-09
2023-10-17,0.0,-1.3287517688166034e-09,1.2759192398669612e-09
2023-10-24,0.0,-1.2566359155121102e-09,1.307208877679883e-09
2023-10-31,0.0,-1.2828665860802554e-09,1.2738039535026834e-09
2023-11-07,0.0,-1.2590967616297197e-09,1.1993806377878996e-09
2023-11-14,0.0,-1.2851964589226634e-09,1.2960741177952202e-09
2023-11-21,0.0,-1.3204632339670111e-09,1.2149404201277696e-09
2023-11-28,0.0,-1.2986750799160649e-09,1.339277352219295e-09
2023-12-05,0.0,-1.2553430591939746e-09,1.2830495046024766e-09
2023-12-12,0.0,-1.2263499497070337e-09,1.280680638728339e-09
2023-12-19,0.0,-1.2655011281836386e-09,1.2500254412526495e-09
2023-12-26,0.0,-1.2677027777305364e-09,1.2079941127401098e-09
2024-01-02,0.0,-1.3093706096784733e-09,1.2733852385938624e-09
2024-01-09,0.0,-1.2470995523303579e-09,1.359553631534656e-09
2024-01-16,0.0,-1.2430439747207365e-09,1.2020441280780505e-09
2024-01-23,0.0,-1.227718672085912e-09,1.2825276881853032e-09
2024-01-30,0.0,-1.189791622999054e-09,1.2481252487382826e-09
2024-02-06,0.0,-1.2622338118913465e-09,1.2034054392385867e-09
2024-02-13,0.0,-1.239961224101449e-09,1.4399499939778007e-09
2024-02-20,0.0,-1.2735839816233997e-09,1.271919532008564e-09
2024-02-27,0.0,-1.2338720218151431e-09,1.3550632712624782e-09
2024-03-05,0.0,-1.3173481252152624e-09,1.2726880784905577e-09
2024-03-12,0.0,-1.2782734994958864e-09,1.3180891915953446e-09
2024-03-19,0.0,-1.2824284187182275e-09,1.2508536321070376e-09
2024-03-26,0.0,-1.3080369582182212e-09,1.1466449924769185e-09
