week,yhat,yhat_lower,yhat_upper,model_used
2021-07-27,0.0,-1.301058379846126e-09,1.3390202401451642e-09,prophet
2021-08-03,0.0,-1.3149750244170592e-09,1.2505887511067542e-09,prophet
2021-08-10,0.0,-1.25760396089218e-09,1.3240601119589864e-09,prophet
2021-08-17,0.0,-1.3690456357521014e-09,1.20649902077973e-09,prophet
2021-08-24,0.0,-1.2448759400933952e-09,1.2451549069158504e-09,prophet
2021-08-31,0.0,-1.3185457001867764e-09,1.3037528789206503e-09,prophet
2021-09-07,0.0,-1.267565619598633e-09,1.2796064901189155e-09,prophet
2021-09-14,0.0,-1.3271271145003757e-09,1.1954276792801213e-09,prophet
2021-09-21,0.0,-1.2340070198760279e-09,1.2739982496742511e-09,prophet
2021-09-28,0.0,-1.308574767686766e-09,1.2420453184186752e-09,prophet
2021-10-05,0.0,-1.2511580648710775e-09,1.2433619111691205e-09,prophet
2021-10-12,0.0,-1.2791561518788588e-09,1.2601816272260675e-09,prophet
2021-10-19,0.0,-1.3331493367152694e-09,1.2806547342462782e-09,prophet
2021-10-26,0.0,-1.3568098788390287e-09,1.2475387589770175e-09,prophet
2021-11-02,0.0,-1.3165128496872229e-09,1.2700483557861225e-09,prophet
2021-11-09,0.0,-1.3514075135685679e-09,1.2745055793388097e-09,prophet
2021-11-16,0.0,-1.3174734192427953e-09,1.3850829801737406e-09,prophet
2021-11-23,0.0,-1.2827541752908328e-09,1.1467167753753904e-09,prophet
2021-11-30,0.0,-1.2546581231852428e-09,1.2774536399213933e-09,prophet
2021-12-07,0.0,-1.1934797660128758e-09,1.2923653114008514e-09,prophet
2021-12-14,0.0,-1.3331728092941107e-09,1.2062986150898876e-09,prophet
2021-12-21,0.0,-1.2997449940518133e-09,1.3646839295646797e-09,prophet
2021-12-28,0.0,-1.2564930130482987e-09,1.3743264888878762e-09,prophet
2022-01-04,0.0,-1.256671268869553e-09,1.253089738165838e-09,prophet
2022-01-11,0.0,-1.2928124869428115e-09,1.2695922696148113e-09,prophet
2022-01-18,0.0,-1.236846161138241e-09,1.3655429842556048e-09,prophet
2022-01-25,0.0,-1.3578310212595167e-09,1.3432937909113842e-09,prophet
2022-02-01,0.0,-1.291612423332043e-09,1.2880500579964974e-09,prophet
2022-02-08,0.0,-1.3068730128543067e-09,1.2770971665624835e-09,prophet
2022-02-15,0.0,-1.1728852744801823e-09,1.3086913506049798e-09,prophet
2022-02-22,0.0,-1.2616091554046899e-09,1.2090186703933704e-09,prophet
2022-03-01,0.0,-1.3747456019890154e-09,1.2740632052049073e-09,prophet
2022-03-08,0.0,-1.2770106252469092e-09,1.2691350870108183e-09,prophet
2022-03-15,0.0,-1.2937928122121502e-09,1.240881188549499e-09,prophet
