week,yhat,yhat_lower,yhat_upper
2021-07-27,0.0,-1.2720590847025897e-09,1.2730307254670207e-09
2021-08-03,0.0,-1.3376984454784477e-09,1.2366616832732023e-09
2021-08-10,0.0,-1.2477823973321876e-09,1.338053601353763e-09
2021-08-17,0.0,-1.2892441297333509e-09,1.3246004413950331e-09
2021-08-24,0.0,-1.282550456599885e-09,1.3279283516088273e-09
2021-08-31,0.0,-1.2404481153179343e-09,1.319729113020956e-09
2021-09-07,0.0,-1.3047354227892686e-09,1.2822626668517983e-09
2021-09-14,0.0,-1.2699615201051071e-09,1.2746897363252912e-09
2021-09-21,0.0,-1.296352226509865e-09,1.1443669951103172e-09
2021-09-28,0.0,-1.2361380162458287e-09,1.20641639076468e-09
2021-10-05,0.0,-1.316436414038223e-09,1.2597103757272575e-09
2021-10-12,0.0,-1.2960371003163973e-09,1.3632548392481407e-09
2021-10-19,0.0,-1.2520264415618083e-09,1.3170409933199505e-09
2021-10-26,0.0,-1.3227754422711427e-09,1.3011018876082942e-09
2021-11-02,0.0,-1.1802074622911044e-09,1.2984701697445233e-09
2021-11-09,0.0,-1.247861578746377e-09,1.1434456745506708e-09
2021-11-16,0.0,-1.1894794929370755e-09,1.2699790804939344e-09
2021-11-23,0.0,-1.2711368870489577e-09,1.2108553281058004e-09
2021-11-30,0.0,-1.2961925815771383e-09,1.341771867514094e-09
2021-12-07,0.0,-1.278388341987241e-09,1.3450026219010764e-09
2021-12-14,0.0,-1.2806481785483783e-09,1.4063117747472693e-09
2021-12-21,0.0,-1.2713712986198813e-09,1.2201320409114132e-09
2021-12-28,0.0,-1.3577892847902673e-09,1.3387778372547208e-09
2022-01-04,0.0,-1.3219277244835877e-09,1.2548674728696001e-09
2022-01-11,0.0,-1.2971665379833863e-09,1.168020189662061e-09
2022-01-18,0.0,-1.2548205235498182e-09,1.263852646274225e-09
2022-01-25,0.0,-1.2134939491304046e-09,1.3762381568856092e-09
2022-02-01,0.0,-1.2552073215094323e-09,1.2745341017286571e-09
2022-02-08,0.0,-1.3437076532132182e-09,1.2662419398556856e-09
2022-02-15,0.0,-1.2635964887674582e-09,1.300229917447917e-09
2022-02-22,0.0,-1.221025821915676e-09,1.3339229343075446e-09
2022-03-01,0.0,-1.2478899619902515e-09,1.2905887560437598e-09
2022-03-08,0.0,-1.2583161786353962e-09,1.2393501045906368e-09
2022-03-15,0.0,-1.2248899215222129e-09,1.3272524872710349e-09
2022-03-22,0.0,-1.4086375626984965e-09,1.182753493543864e-09
2022-03-29,0.0,-1.2838987685604108e-09,1.2650283173735792e-09
2022-04-05,0.0,-1.2501550017700588e-09,1.2156034141208816e-09
