week,yhat,yhat_lower,yhat_upper,model_used
2021-07-27,0.0,-1.378319196738575e-09,1.3041639022208236e-09,prophet
2021-08-03,0.0,-1.3265806567348326e-09,1.2753474126403076e-09,prophet
2021-08-10,0.0,-1.341524337494199e-09,1.3067863920432195e-09,prophet
2021-08-17,0.0,-1.3453660762098169e-09,1.3176233107519234e-09,prophet
2021-08-24,0.0,-1.3556331783723593e-09,1.26097121405028e-09,prophet
2021-08-31,0.0,-1.1927193134131805e-09,1.3436515993193545e-09,prophet
2021-09-07,0.0,-1.2496861008838305e-09,1.3200673442821384e-09,prophet
2021-09-14,0.0,-1.2489413395594862e-09,1.350275378898473e-09,prophet
2021-09-21,0.0,-1.331636968039882e-09,1.2612628376007995e-09,prophet
2021-09-28,0.0,-1.3074948347504147e-09,1.2406001166120644e-09,prophet
2021-10-05,0.0,-1.265122130521337e-09,1.2982760255826654e-09,prophet
2021-10-12,0.0,-1.3494836261239175e-09,1.247610660706119e-09,prophet
2021-10-19,0.0,-1.2034620767575453e-09,1.2531490283236188e-09,prophet
2021-10-26,0.0,-1.338222915715728e-09,1.2291125760489737e-09,prophet
2021-11-02,0.0,-1.2201107530976213e-09,1.2210105952069465e-09,prophet
2021-11-09,0.0,-1.2380783030888014e-09,1.1478479647556852e-09,prophet
2021-11-16,0.0,-1.2994538016757456e-09,1.274092829217699e-09,prophet
2021-11-23,0.0,-1.2460144456564257e-09,1.2708345124530232e-09,prophet
2021-11-30,0.0,-1.2565722993213147e-09,1.2871076846736051e-09,prophet
2021-12-07,0.0,-1.2925768736792435e-09,1.2497656174584175e-09,prophet
2021-12-14,0.0,-1.3716696076176473e-09,1.353356704863153e-09,prophet
2021-12-21,0.0,-1.3047295515094102e-09,1.2489245555317049e-09,prophet
2021-12-28,0.0,-1.229241003123996e-09,1.3576064167965104e-09,prophet
2022-01-04,0.0,-1.275220769204077e-09,1.4119397030925244e-09,prophet
2022-01-11,0.0,-1.2907079324526828e-09,1.328772463127709e-09,prophet
2022-01-18,0.0,-1.28962133585036e-09,1.197440831001615e-09,prophet
2022-01-25,0.0,-1.198075756159633e-09,1.2220360096233483e-09,prophet
2022-02-01,0.0,-1.3004234392537983e-09,1.2941798252554068e-09,prophet
