week,yhat,yhat_lower,yhat_upper
2021-07-27,0.0,-1.2999315351682394e-09,1.2922616722437126e-09
2021-08-03,0.0,-1.1935058027837434e-09,1.2975067986457732e-09
2021-08-10,0.0,-1.3823961221180032e-09,1.2279505415186786e-09
2021-08-17,0.0,-1.3289247691085116e-09,1.272033932254089e-09
2021-08-24,0.0,-1.3639894352598574e-09,1.2785435446443992e-09
2021-08-31,0.0,-1.2975117860169352e-09,1.2817943804404954e-09
2021-09-07,0.0,-1.252638973306744e-09,1.2217113762919634e-09
2021-09-14,0.0,-1.3450202796972446e-09,1.339395083711861e-09
2021-09-21,0.0,-1.2679969528440929e-09,1.234420844882816e-09
2021-09-28,0.0,-1.3016098042704514e-09,1.3533971896201086e-09
2021-10-05,0.0,-1.221880009611919e-09,1.3083321099686555e-09
2021-10-12,0.0,-1.2296738611537412e-09,1.346420738799545e-09
2021-10-19,0.0,-1.2504479961080355e-09,1.2364285466876564e-09
2021-10-26,0.0,-1.2197294978597584e-09,1.3043557944410205e-09
2021-11-02,0.0,-1.2888561353324216e-09,1.1853814248373649e-09
2021-11-09,0.0,-1.2952675136328533e-09,1.2135214324798117e-09
2021-11-16,0.0,-1.3436235422218495e-09,1.1782618487430455e-09
2021-11-23,0.0,-1.3469591388781334e-09,1.2996077919081755e-09
2021-11-30,0.0,-1.294709939345066e-09,1.234469458862704e-09
2021-12-07,0.0,-1.2542955601917456e-09,1.3242725770544005e-09
2021-12-14,0.0,-1.264099265307036e-09,1.3547425286793955e-09
2021-12-21,0.0,-1.2572151058538865e-09,1.265552347949901e-09
2021-12-28,0.0,-1.2882848333988006e-09,1.2922846905410493e-09
2022-01-04,0.0,-1.2036766188902528e-09,1.3588025091935216e-09
2022-01-11,0.0,-1.351072147031683e-09,1.2073067133038827e-09
2022-01-18,0.0,-1.265322823137644e-09,1.226673625482533e-09
2022-01-25,0.0,-1.2179231158760664e-09,1.2804369213599913e-09
2022-02-01,0.0,-1.1856284384696506e-09,1.2857964873346242e-09
2022-02-08,0.0,-1.2984655466762545e-09,1.1969373331597155e-09
2022-02-15,0.0,-1.27373068890082e-09,1.260501085411658e-09
2022-02-22,0.0,-1.3120954846581797e-09,1.3108054000482827e-09
2022-03-01,0.0,-1.2382027574457155e-09,1.3559274394245218e-09
2022-03-08,0.0,-1.264901545507043e-09,1.3097206357776219e-09
2022-03-15,0.0,-1.2454874729448477e-09,1.2475924144783778e-09
2022-03-22,0.0,-1.219659195147098e-09,1.2698898712602943e-09
2022-03-29,0.0,-1.2517639017870894e-09,1.2388220286148766e-09
2022-04-05,0.0,-1.2670731162962884e-09,1.2342320484539742e-09
2022-04-12,0.0,-1.3151276615360092e-09,1.229969803796943e-09
2022-04-19,0.0,-1.265720643956986e-09,1.2245887440200188e-09
2022-04-26,0.0,-1.2742448268161108e-09,1.2089377897119365e-09
2022-05-03,0.0,-1.2944324362671934e-09,1.2941039129743284e-09
2022-05-10,0.0,-1.2548824965714585e-09,1.3211319566458352e-09
2022-05-17,0.0,-1.1877303893130683e-09,1.3698261325769935e-09
2022-05-24,0.0,-1.247813071587096e-09,1.396862193294567e-09
2022-05-31,0.0,-1.19500973323078e-09,1.284949553227962e-09
2022-06-07,0.0,-1.3485456347793057e-09,1.3644294081205725e-09
2022-06-14,0.0,-1.2926137279439657e-09,1.3051439318151085e-09
2022-06-21,0.0,-1.2625572240293989e-09,1.2644685087979288e-09
2022-06-28,0.0,-1.270323489879756e-09,1.281512054631318e-09
2022-07-05,0.0,-1.3437045313508287e-09,1.3470230559376066e-09
2022-07-12,0.0,-1.2557191710310764e-09,1.336467824560094e-09
2022-07-19,0.0,-1.3000915877835808e-09,1.3467622060043544e-09
2022-07-26,0.0,-1.2629116471848641e-09,1.2609827232331562e-09
2022-08-02,0.0,-1.2837542339856325e-09,1.2335516947779766e-09
2022-08-09,0.0,-1.2921572905949647e-09,1.1808578019827485e-09
2022-08-16,0.0,-1.2970701296604104e-09,1.2400864473301647e-09
2022-08-23,0.0,-1.2815156579575637e-09,1.2583476648971307e-09
2022-08-30,0.0,-1.3003553424806336e-09,1.254662969978184e-09
2022-09-06,0.0,-1.300482651120932e-09,1.2135577762086356e-09
2022-09-13,0.0,-1.1984499532767212e-09,1.2982286491904205e-09
2022-09-20,0.0,-1.2718455918143982e-09,1.2281731097583298e-09
2022-09-27,0.0,-1.3539054500518637e-09,1.3524093775141614e-09
2022-10-04,0.0,-1.2954053057142707e-09,1.177224588051162e-09
2022-10-11,0.0,-1.301602631079113e-09,1.2981997872252239e-09
2022-10-18,0.0,-1.2967497521551689e-09,1.2630512309208185e-09
2022-10-25,0.0,-1.1322765243233217e-09,1.3592410362788042e-09
2022-11-01,0.0,-1.1879750995804988e-09,1.2876186863036989e-09
2022-11-08,0.0,-1.3033376614438358e-09,1.2278377125371717e-09
2022-11-15,0.0,-1.3154622562547444e-09,1.2275943047605642e-09
2022-11-22,0.0,-1.267546478292361e-09,1.387430454605239e-09
2022-11-29,0.0,-1.3051099799392684e-09,1.2688587472983763e-09
2022-12-06,0.0,-1.3769726568053546e-09,1.3661815427480824e-09
2022-12-13,0.0,-1.3026493682300609e-09,1.233895197019161e-09
2022-12-20,0.0,-1.2682353002839828e-09,1.2589203596967043e-09
2022-12-27,0.0,-1.2298122099329573e-09,1.2267715152811113e-09
